,State,County,FIPS,Year,Total_Chargers,Vehicles,VehiclesChevrolet,VehiclesChevrolet_pct,Total_Chargers_PM2,pclon10,pclat10
206,NY,Clinton,36019,2020,31.0,200,21.0,0.105,0.02986944163414752,-73.545325,44.730039
207,NY,Columbia,36021,2010,0.0,7,0.0,0.0,0.0,-73.681049,42.273336
208,NY,Columbia,36021,2011,0.0,9,3.0,0.3333333333333333,0.0,-73.681049,42.273336
209,NY,Columbia,36021,2012,0.0,13,4.0,0.3076923076923077,0.0,-73.681049,42.273336
210,NY,Columbia,36021,2013,0.0,24,5.0,0.20833333333333331,0.0,-73.681049,42.273336
211,NY,Columbia,36021,2014,0.0,45,7.0,0.15555555555555556,0.0,-73.681049,42.273336
212,NY,Columbia,36021,2015,0.0,54,12.0,0.2222222222222222,0.0,-73.681049,42.273336
213,NY,Columbia,36021,2016,0.0,70,17.0,0.24285714285714285,0.0,-73.681049,42.273336
214,NY,Columbia,36021,2017,0.0,109,29.0,0.26605504587155965,0.0,-73.681049,42.273336
215,NY,Columbia,36021,2018,9.0,160,33.0,0.20625,0.014179704116840759,-73.681049,42.273336
216,NY,Columbia,36021,2019,23.0,229,37.0,0.1615720524017467,0.03623702163192639,-73.681049,42.273336
217,NY,Columbia,36021,2020,45.0,295,40.0,0.13559322033898305,0.0708985205842038,-73.681049,42.273336
218,NY,Cortland,36023,2010,0.0,28,0.0,0.0,0.0,-76.145474,42.59613
219,NY,Cortland,36023,2011,0.0,30,0.0,0.0,0.0,-76.145474,42.59613
220,NY,Cortland,36023,2012,0.0,34,1.0,0.029411764705882356,0.0,-76.145474,42.59613
221,NY,Cortland,36023,2013,0.0,39,2.0,0.05128205128205128,0.0,-76.145474,42.59613
222,NY,Cortland,36023,2014,0.0,47,4.0,0.0851063829787234,0.0,-76.145474,42.59613
223,NY,Cortland,36023,2015,0.0,50,7.0,0.14,0.0,-76.145474,42.59613
224,NY,Cortland,36023,2016,2.0,52,12.0,0.2307692307692308,0.0040099446627636535,-76.145474,42.59613
225,NY,Cortland,36023,2017,4.0,62,15.0,0.2419354838709677,0.008019889325527307,-76.145474,42.59613
226,NY,Cortland,36023,2018,7.0,85,20.0,0.2352941176470588,0.014034806319672787,-76.145474,42.59613
227,NY,Cortland,36023,2019,7.0,95,22.0,0.23157894736842105,0.014034806319672787,-76.145474,42.59613
228,NY,Cortland,36023,2020,7.0,120,27.0,0.225,0.014034806319672787,-76.145474,42.59613
229,NY,Delaware,36025,2010,0.0,7,0.0,0.0,0.0,-74.993985,42.244535
230,NY,Delaware,36025,2011,0.0,7,0.0,0.0,0.0,-74.993985,42.244535
231,NY,Delaware,36025,2012,0.0,14,2.0,0.14285714285714285,0.0,-74.993985,42.244535
232,NY,Delaware,36025,2013,0.0,27,4.0,0.14814814814814814,0.0,-74.993985,42.244535
